,2014,,2015,,2016,
No,88%,729,88%,"1,145",88%,"1,319"
Yes,12%,97,12%,162,12%,187
11,2%,"1,149",3%,"1,335",3%,"1,431"
Cash/Surety/Property,75%,865,63%,838,38%,537
No,87%,751,88%,740,84%,449
Yes,13%,114,12%,98,16%,88
Personal Recognizance,25%,284,37%,497,62%,894
No,90%,255,84%,417,87%,777
Yes,10%,29,16%,80,13%,117
12,2%,796,2%,823,2%,791
Cash/Surety/Property,61%,489,64%,523,56%,443
No,80%,392,78%,408,80%,356
Yes,20%,97,22%,115,20%,87
Personal Recognizance,39%,307,36%,300,44%,348
No,79%,244,80%,241,81%,282
Yes,21%,63,20%,59,19%,66
13,3%,"1,238",3%,"1,410",3%,"1,332"
Cash/Surety/Property,65%,807,58%,816,59%,780
No,87%,700,85%,694,86%,667
Yes,13%,107,15%,122,14%,113
Personal Recognizance,35%,431,42%,594,41%,552
No,84%,363,82%,485,85%,467
Yes,16%,68,18%,109,15%,85
14,2%,968,2%,956,2%,940
Cash/Surety/Property,72%,696,63%,607,56%,531
No,88%,609,89%,539,88%,465
Yes,13%,87,11%,68,12%,66
Personal Recognizance,28%,272,37%,349,44%,409
No,85%,230,85%,296,84%,344
Yes,15%,42,15%,53,16%,65
15,1%,545,1%,500,1%,437
Cash/Surety/Property,83%,454,85%,426,88%,384
No,84%,381,83%,355,83%,320
Yes,16%,73,17%,71,17%,64
Personal Recognizance,17%,91,15%,74,12%,53
No,70%,64,82%,61,87%,46
Yes,30%,27,18%,13,13%,7
16,2%,791,1%,689,1%,586
Cash/Surety/Property,71%,560,61%,423,46%,272
No,78%,436,81%,342,76%,207
Yes,22%,124,19%,81,24%,65
Personal Recognizance,29%,231,39%,266,54%,314
No,81%,186,83%,221,82%,258
Yes,19%,45,17%,45,18%,56
17,14%,"6,646",13%,"6,457",12%,"5,761"
Cash/Surety/Property,94%,"6,274",93%,"6,014",73%,"4,190"
No,87%,"5,483",86%,"5,191",86%,"3,602"
Yes,13%,791,14%,823,14%,588
Personal Recognizance,6%,372,7%,443,27%,"1,571"
No,88%,327,91%,404,86%,"1,346"
Yes,12%,45,9%,39,14%,225
18,14%,"6,934",14%,"7,305",14%,"6,593"
Cash/Surety/Property,60%,"4,180",54%,"3,971",60%,"3,940"
No,86%,"3,609",87%,"3,459",90%,"3,555"
Yes,14%,571,13%,512,10%,385
Personal Recognizance,40%,"2,754",46%,"3,334",40%,"2,653"
No,88%,"2,421",89%,"2,964",89%,"2,368"
Yes,12%,333,11%,370,11%,285
19,7%,"3,319",8%,"3,948",8%,"3,883"
Cash/Surety/Property,67%,"2,227",52%,"2,037",42%,"1,627"
No,83%,"1,839",80%,"1,631",80%,"1,301"
Yes,17%,388,20%,406,20%,326
Personal Recognizance,33%,"1,092",48%,"1,911",58%,"2,256"
No,89%,967,87%,"1,658",87%,"1,972"
Yes,11%,125,13%,253,13%,284
20,4%,"2,034",4%,"1,976",4%,"2,113"
Cash/Surety/Property,71%,"1,444",67%,"1,331",60%,"1,265"
No,87%,"1,256",86%,"1,149",86%,"1,086"
Yes,13%,188,14%,182,14%,179
Personal Recognizance,29%,590,33%,645,40%,848
No,92%,543,92%,593,89%,758
Yes,8%,47,8%,52,11%,90
21,4%,"1,913",4%,"1,905",4%,"1,850"
Cash/Surety/Property,32%,604,31%,591,24%,451
No,77%,466,82%,483,83%,376
Yes,23%,138,18%,108,17%,75
Personal Recognizance,68%,"1,309",69%,"1,314",76%,"1,399"
No,83%,"1,088",80%,"1,053",80%,"1,119"
Yes,17%,221,20%,261,20%,280
22,1%,670,1%,587,1%,547
Cash/Surety/Property,44%,294,48%,281,48%,260
No,90%,265,84%,237,91%,236
Yes,10%,29,16%,44,9%,24
Personal Recognizance,56%,376,52%,306,52%,287
No,84%,316,86%,263,91%,261
Yes,16%,60,14%,43,9%,26
Total,100%,"48,872",100%,"50,490",100%,"47,799"
