,2014,,2015,,2016,
Personal Recognizance,45%,481,55%,790,50%,651
No,87%,420,87%,688,90%,586
Yes,13%,61,13%,102,10%,65
11,2%,375,2%,420,2%,567
Cash/Surety/Property,77%,289,64%,269,47%,267
No,84%,242,83%,224,81%,216
Yes,16%,47,17%,45,19%,51
Personal Recognizance,23%,86,36%,151,53%,300
No,90%,77,86%,130,82%,247
Yes,10%,9,14%,21,18%,53
12,2%,418,2%,467,2%,667
Cash/Surety/Property,55%,229,59%,275,52%,346
No,76%,174,72%,197,72%,249
Yes,24%,55,28%,78,28%,97
Personal Recognizance,45%,189,41%,192,48%,321
No,79%,150,80%,153,78%,251
Yes,21%,39,20%,39,22%,70
13,2%,404,2%,482,2%,537
Cash/Surety/Property,67%,270,62%,300,57%,308
No,72%,195,73%,220,79%,242
Yes,28%,75,27%,80,21%,66
Personal Recognizance,33%,134,38%,182,43%,229
No,81%,108,81%,147,79%,182
Yes,19%,26,19%,35,21%,47
14,1%,254,1%,357,1%,312
Cash/Surety/Property,74%,189,62%,222,54%,169
No,75%,141,75%,166,75%,126
Yes,25%,48,25%,56,25%,43
Personal Recognizance,26%,65,38%,135,46%,143
No,83%,54,84%,114,85%,121
Yes,17%,11,16%,21,15%,22
15,1%,158,1%,197,1%,182
Cash/Surety/Property,66%,104,70%,137,67%,122
No,81%,84,73%,100,85%,104
Yes,19%,20,27%,37,15%,18
Personal Recognizance,34%,54,30%,60,33%,60
No,78%,42,83%,50,87%,52
Yes,22%,12,17%,10,13%,8
16,1%,227,1%,268,1%,270
Cash/Surety/Property,63%,144,67%,180,68%,184
No,74%,106,67%,120,74%,137
Yes,26%,38,33%,60,26%,47
Personal Recognizance,37%,83,33%,88,32%,86
No,69%,57,75%,66,69%,59
Yes,31%,26,25%,22,31%,27
17,10%,"2,277",10%,"2,452",10%,"2,794"
Cash/Surety/Property,90%,"2,045",85%,"2,089",72%,"2,005"
No,80%,"1,634",79%,"1,658",79%,"1,584"
Yes,20%,411,21%,431,21%,421
Personal Recognizance,10%,232,15%,363,28%,789
No,88%,205,83%,303,86%,680
Yes,12%,27,17%,60,14%,109
18,10%,"2,381",11%,"2,817",11%,"3,096"
Cash/Surety/Property,80%,"1,901",69%,"1,932",74%,"2,276"
No,81%,"1,547",82%,"1,588",85%,"1,937"
Yes,19%,354,18%,344,15%,339
Personal Recognizance,20%,480,31%,885,26%,820
No,86%,414,85%,755,88%,719
Yes,14%,66,15%,130,12%,101
19,6%,"1,307",6%,"1,398",5%,"1,532"
Cash/Surety/Property,63%,824,56%,789,57%,877
No,80%,659,76%,601,77%,679
Yes,20%,165,24%,188,23%,198
Personal Recognizance,37%,483,44%,609,43%,655
No,81%,391,88%,536,81%,533
Yes,19%,92,12%,73,19%,122
20,5%,"1,077",5%,"1,212",5%,"1,448"
Cash/Surety/Property,78%,842,75%,904,62%,898
No,85%,715,84%,756,85%,763
Yes,15%,127,16%,148,15%,135
Personal Recognizance,22%,235,25%,308,38%,550
No,92%,217,92%,282,90%,496
Yes,8%,18,8%,26,10%,54
21,5%,"1,084",4%,"1,112",5%,"1,357"
Cash/Surety/Property,33%,363,26%,288,23%,314
No,76%,277,80%,230,80%,252
Yes,24%,86,20%,58,20%,62
Personal Recognizance,67%,721,74%,824,77%,"1,043"
No,81%,585,81%,671,81%,849
Yes,19%,136,19%,153,19%,194
22,1%,161,1%,204,1%,228
Cash/Surety/Property,55%,89,71%,145,73%,166
No,84%,75,86%,125,89%,148
Yes,16%,14,14%,20,11%,18
Personal Recognizance,45%,72,29%,59,27%,62
No,81%,58,86%,51,90%,56
Yes,19%,14,14%,8,10%,6
Total,100%,"22,834",100%,"25,325",100%,"28,789"
