County/ bond set type,2014,2015,2016
Kiowa,90,69,56
Cash/Surety/Property,87,65,53
Personal Recognizance,3,4,3
Kit Carson,220,226,269
Cash/Surety/Property,181,164,196
Personal Recognizance,39,62,73
La Plata,"1,216","1,447","1,463"
Cash/Surety/Property,753,906,"1,000"
Personal Recognizance,463,541,463
Lake,215,310,262
Cash/Surety/Property,152,242,212
Personal Recognizance,63,68,50
Larimer,"5,771","6,058","6,043"
Cash/Surety/Property,"2,059","2,278","2,306"
Personal Recognizance,"3,712","3,780","3,737"
Las Animas,829,784,846
Cash/Surety/Property,706,698,781
Personal Recognizance,123,86,65
Lincoln,246,359,397
Cash/Surety/Property,238,354,389
Personal Recognizance,8,5,8
Logan,486,454,435
Cash/Surety/Property,326,243,249
Personal Recognizance,160,211,186
Mesa,"2,820","3,003","2,991"
Cash/Surety/Property,"1,508","1,686","1,589"
Personal Recognizance,"1,312","1,317","1,402"
Mineral,40,45,38
Cash/Surety/Property,40,43,36
Personal Recognizance,,2,2
Moffat,341,372,403
Cash/Surety/Property,246,257,246
Personal Recognizance,95,115,157
Montezuma,868,816,855
Cash/Surety/Property,402,413,421
Personal Recognizance,466,403,434
Montrose,855,778,788
Cash/Surety/Property,700,648,607
Personal Recognizance,155,130,181
Morgan,956,"1,013",940
Cash/Surety/Property,755,775,693
Personal Recognizance,201,238,247
Otero,636,604,515
Cash/Surety/Property,479,376,210
Personal Recognizance,157,228,305
Ouray,107,93,112
Cash/Surety/Property,88,79,99
Personal Recognizance,19,14,13
Park,379,376,356
Cash/Surety/Property,313,292,251
Personal Recognizance,66,84,105
Phillips,44,63,75
Cash/Surety/Property,39,41,54
Personal Recognizance,5,22,21
Pitkin,225,174,210
Cash/Surety/Property,164,121,169
Personal Recognizance,61,53,41
Prowers,697,721,659
Cash/Surety/Property,629,662,625
Personal Recognizance,68,59,34
Pueblo,"3,348","3,409","3,482"
Cash/Surety/Property,"2,513","2,077","1,906"
Personal Recognizance,835,"1,332","1,576"
Rio Blanco,205,208,153
Cash/Surety/Property,193,194,129
Personal Recognizance,12,14,24
Rio Grande,328,323,289
Cash/Surety/Property,231,229,202
Personal Recognizance,97,94,87
Routt,551,537,485
Cash/Surety/Property,385,365,309
Personal Recognizance,166,172,176
Saguache,122,100,118
Cash/Surety/Property,84,69,88
Personal Recognizance,38,31,30
San Juan,13,20,23
Cash/Surety/Property,11,19,19
Personal Recognizance,2,1,4
San Miguel,167,173,234
Cash/Surety/Property,134,143,209
Personal Recognizance,33,30,25
Sedgwick,43,71,69
Cash/Surety/Property,36,56,62
Personal Recognizance,7,15,7
Summit,925,"1,048",932
Cash/Surety/Property,862,938,820
Personal Recognizance,63,110,112
Teller,668,625,580
Cash/Surety/Property,529,504,461
Personal Recognizance,139,121,119
Washington,96,117,122
Cash/Surety/Property,67,80,97
Personal Recognizance,29,37,25
Weld,"4,672","5,356","5,424"
Cash/Surety/Property,"3,329","3,200","2,677"
Personal Recognizance,"1,343","2,156","2,747"
Yuma,112,151,146
Cash/Surety/Property,90,121,107
Personal Recognizance,22,30,39
Total,"73,433","76,596","77,050"
